formatted_input
"4th of 8, competitive | [RACE]: An open nursery run at a sound gallop, the much improved winner drawing right away having come from off the pace. | [HORSE]: in first-time cheekpieces, shaped similarly to last time making handicap, possibly not entirely straightforward but shaping as if well worth another go back over further; dwelt, in rear, outpaced over 2f out, ran on late, flashed tail."
"3rd of 10, involved in finish | [RACE]: The strong-travelling winner was always well placed in this fair handicap, doing it with a little more in hand than the winning margin implies, though he'd have been pushed closer had the third got a better run through. | [HORSE]: winless this year, didn't get the best of trips but finished to good effect. He's not one to go overboard on but is on an exploitable mark."
"8th of 15, well beaten | [RACE]: The pick of only 2 with experience made full use of it in defying unflattering odds in a bumper run on deteriorating, churned-up ground, conditions that almost certainly counted against several of a raft of well-related newcomers from some high-profile stables. | [HORSE]: (by Jack Hobbs: seventh foal: half-sister to 3 winners, including fairly useful hurdlers Glimpse of Gala (19f-3m winner) and Mr Scrumpy (2½m-3m winner) (both by Passing Glance): dam, point winner, half-sister to useful chaser (stayed 29f) Strongbows Legend) bred to stay well, is probably one for later on; raced off the pace, outpaced end of back straight, late headway, found the test inadequate."
"13th of 18, well beaten | [RACE]: A well-run, big-field handicap and there's little reason to think it's anything but rock-solid form for the grade, the winner a long way ahead of the assessor at present, the runner-up in form, while the third and fourth both enjoyed a very productive 2020; the time was good, too. | [HORSE]: easy to back returning without the headgear in which he'd won at Haydock when last seen, probably needed the run after 8 months off; dived left leaving stalls, in rear, effort on inner 2f out, not unduly punished, never landed a blow."
"8th of 13, competitive | [RACE]: A handicap run at a steady gallop, which resulted in the field being well bunched for a long way and some trouble in running, but the principals can still be viewed positively, the first 2 home progressive 3-y-os whilst the third and fourth are below their last winning marks and the fifth did best of those held up. | [HORSE]: after just 5 days off, was flying too high in this grade (2 lb out of weights) and ran as well as could be expected; mid-division, raced freely, not clear run 2f out and shuffled back a bit, carried head bit awkwardly, not persevered with once held."
"2nd of 6, fairly beaten | [RACE]: The departures, along with the favourite's troubled run, created a prime opportunity for Ballycamus to quickly return to winning ways. | [HORSE]: a convincing all-the-way winner at Market Rasen in December off 12lb lower, showed no ill effects from his fall at the same venue on Boxing Day. However, he was almost taken off the track by the loose horse early on the final circuit and it clearly disrupted his rhythm. He warrants another chance."
"2nd of 11, well beaten | [RACE]: A maiden that was dominated by a couple of hurdling debutants, the pair racing clear from very early on, Noble Yeats running out an impressive winner. | [HORSE]: (by Milan: third foal: half-brother to winning pointer Plus One (by Winged Love): dam unraced half-sister to useful hurdler/fair chaser (stayed 2½m) Balapour) successful on completed start in points 17 months earlier, shaped encouragingly on Rules debut; made running, joined when untidy fifth, ridden when flattened 3 out, left behind by winner before next; will surely improve, worth noting that all the other 3 finishers from his point victory (Boothill, Smurphy Enki and Ballybegg) are already fairly useful winning hurdlers."
"14th of 16, well beaten | [RACE]: A valuable handicap but most of these are known quantities and it strikes as solid rather than very strong form, the sole 3-y-o able to get right in the mix despite being 3 lb out of the weights; the pace was sound and the leaders were guilty of going for home too soon. | [HORSE]: ran poorly in first-time cheekpieces, his season in serious danger of turning disappointing at present given such a promising 3-y-o one; missed the break, raced off the pace, labouring 3f out, always behind."
"2nd of 10, competitive | [RACE]: The winner is most progressive and made short work of a badly-treated bunch on the way to clocking up a hat-trick, travelling with aplomb and settling things quickly once hitting the front. | [HORSE]: blinkered for his nursery debut, had shown some promise on his first two starts and simply bumped into a handicap blot. He was wayward when coming under pressure but will find easier openings than this and can win soon."
"6th of 9, well beaten | [RACE]: A sprint finish from 3 out to end a maiden with several hallmarks of ropey form, including the proximity of a runner-up beaten in a seller the time before as well as the unconsidered front-running third. | [HORSE]: was possibly flattered in a muddling race on his hurdling debut and hasn't stood enough racing as yet to be confident he'll build on it, anyway; waited with, took strong hold, out wide, progress out wide still 3 out, effort flattened out."
"4th of 20, involved in finish | [RACE]: This looked a competitive event prior, though both a positional and track bias mean it's not form to take fully at face value, those who raced prominently on the far side seen to the biggest advantage, with the 4 lowest drawn runners making the first 5, whilst none of the group of 8 that raced stand side finished in the top half and the majority can have their efforts either upgraded or excused, Brazen Bolt first home in that group, shaping much better than the result implies. | [HORSE]: had the benefit of a good track position and confirmed return to form; raced far side, led overall, driven 2f out, tackled over 1f out, headed soon after, one paced."
"5th of 11, involved in finish | [RACE]: A tight handicap on paper and just that on the track too, especially with the pace just modest, the first 2 racing alongside each other throughout and sweeping through in the final 1f. | [HORSE]: turned in going well enough but he had to work a passage from the back of the field and didn't get an entirely clear run at things. He'd been off since August and this was his first run back from a wind op, so it was an encouraging effort. He's very well treated on last year's best form, so is one to keep an eye on."
"3rd of 22, involved in finish | [RACE]: As fiercely a competitive handicap as the numbers suggested, the main action happening more towards the near side in the finish and Pressure's On was always in a good spot just behind the pace, a whole host of closers in behind him shaping well given troubled passages, not least his fellow dead-heater, Quest For Fun, who looked unlucky not get the outright success. | [HORSE]: ran well back in the right grade, one of many to emerge with credit having suffered a troubled passage, though not quite as unlucky as Quest For Fun; held up, headway when short of room 2f out, ridden when switched last ½f, ran on."
"4th of 15, competitive | [RACE]: A competitive contest for the level with plenty lurking on dangerous marks, the winner one of them, though it was a familiar story to most of the card, the rail proving a major advantage - the field all tracking across to it soon after the start - with the first 2 coming from high draws, that factored in with a strong pace meaning the winner was seen to good effect, whilst those who raced on the speed and/or on the outer flank can either be excused or marked up, Dream Together and Mumcat the pair of most immediate interest as a result. | [HORSE]: who sweated up beforehand, is on a very handy mark but is a frustrating sort (long-standing maiden) who needs everything to fall right, ending up a bit away from the action here but also helped by coming from off a strong pace; steadied at the start, patiently ridden, not settle fully, pushed along under 2f out, denied a run until 1f out, ran on late, never on terms."
"2nd of 9, involved in finish | [RACE]: No great pace on in this handicap and the best horse probably finished second, Pressure's On conceding first run to Follow Your Heart, who was never far away. | [HORSE]: had ended 2024 on the up and shaped well after 4 months off, going like the best horse at the weights; held up, pushed along early in straight, headway over 1f out, finished well but conceded first run; he's one to look out for."
"2nd of 17, involved in finish | [RACE]: A fairly useful handicap contested by 3-y-os, many of them unexposed, but not the strength in depth associated with such races given the draw bias, the field initially racing as 2 groups before merging after 2f or so, those drawn low clearly at an advantage, Buick giving the winner Harry Magnus a peach of a ride to come with his challenge of the far side and winning with a bit in hand. | [HORSE]: making handicap debut, was sent off favourite and ran at least as well as previously after 6 months off; in touch, good headway over 2f out, led over 1f out, headed final 50 yds; he's made a promising start to his career and ought to be winning before long, clearly posessing more stamina than might be expected given his sprinting pedigree."
"8th of 13, competitive | [RACE]: A well-run handicap but the finished was still fought out by a pair that were always prominent, the third home having only one behind turning in. | [HORSE]: who got tightened up for room and was shuffled back to the rear in the early stages, ran on when it was all over. This is one to put a line through."
"3rd of 7, competitive | [RACE]: An interesting race for the grade in which the pace was contested, the second and third having something to recommend them but proving no match for a 3-y-o improver building a good all-weather record. | [HORSE]: less exposed than the rest, was well backed and shaped better than the bare result back down in trip, left with a lot to do after an awkward start; in rear, short of room 2f out, headway 1f out, stayed on, nearest at the finish; will remain of interest."
"7th of 8, fairly beaten | [RACE]: The pace was sound but the gaps didn't come in time for the well-backed favourite. | [HORSE]: didn't run up to market expectations. It turned out he'd bled from the nose. Also, he had a small wound on his right hind and had lost both front shoes, so he had his share of excuses."
"Won | [RACE]: A one-sided affair, the veteran winner back in some form now and extracting himself from some trouble to bolt up and mark himself down as one to follow over the coming weeks. | [HORSE]: who'd been in freefall in the ratings, rather barged his way out inside the final furlong, but he won with plenty to spare and could take some stopping should connections find him another opportunity under a penalty. His jockey picked up a five-day ban for improper riding."
"4th of 8, involved in finish | [RACE]: A low-grade handicap run at a modest pace and the winner was much better placed than the trio that chased him home, all having something to recommend them. | [HORSE]: is a hostage to fortune the way he is ridden and although he again ran into trouble when attempting to close, it's hard to say it made the difference between victory and defeat."
"11th of 11, well beaten | [RACE]: With neither of the Newmarket-trained 4-y-os that dominated the market meeting expectations, this is perhaps not as strong a race as it looked like being, the runner-up rather left alone in front too, but the winner still deserves credit for running him down with authority, even if he got a good run up the inner. | [HORSE]: after 5 months off, shaped as if amiss (reported post-race to be suffering from atrial fibrillation); chased leader, folded tamely over 4f out; he did something similar on his second start last year before bouncing right back the next time."
"2nd of 11, competitive | [RACE]: A 3-y-o handicap blown apart by a rapidly-improving filly, Pandora's Gift quickening right away once given the office, the runner-up sticking on best of the rest from the rear but unable to lay a glove on the impressive winner. | [HORSE]: was never in the same parish as the winner, but this was still a good effort to reach second late on as he was dropped right out from the widest stall early. He won't always come up against such a progressive sort."
"3rd of 8, involved in finish | [RACE]: Several of these met here earlier in the month on very deep ground, but once again all they heard was Radio Goo Goo, who led home a pair of last-time-out winners. | [HORSE]: a winner on all-weather when last seen, shaped well on handicap debut after 7 months off, suggesting 7f should be well within her compass after overcoming a tricky path to finish as close as she did; in rear, effort over 2f out, came wide soon after, still plenty to do entering final 1f, ran on, nearest at the finish."
"Won | [RACE]: They raced in one group down the centre to far side, to the detriment of those drawn high and it got rather congested, which brought complications for some in low stalls that weren't in the front rank, and backers of both Juan Les Pins and Sugar Baby could consider themselves unlucky with Aberama Gold and Ingleby Arch better placed and fighting it out. | [HORSE]: placed at Ayr five days earlier, was well backed with a visor reapplied (replacing blinkers) and he dug deep to score for the first time since October 2023. He has fallen significantly in the weights over the past year and, given that he also handles soft ground, could be the ideal type for a crack at the Ayr Silver Cup. Presumably, he'll be taking in Goodwood in the interim."
"7th of 11, fairly beaten | [RACE]: A messy contest in which the in-form pair that came clear were seen to far better effect than some of those behind. | [HORSE]: bidding for a C&D hat-trick from a 3lb higher mark, looked to be cruising when produced to challenge over a furlong out but found disappointingly little off the bridle."
"4th of 9, involved in finish | [RACE]: A useful contest that developed only from early in the straight, a likeable 3-y-o coming out on top, though it was the well-treated runner-up who shaped best from the rear. | [HORSE]: proved retains all ability returned to a shorter trip after 14 months off, challenging from a less-than-ideal position and looked after once his chance of winning had gone; dwelt, held up, headway under pressure under 2f out, kept on, not unduly punished."
"8th of 13, competitive | [RACE]: The 3-y-os were unsurprisingly towards the head of the betting in this fairly useful contest and an improver from that age group went close behind one that had fallen plenty in the weights; it developed only from 2f out with nothing getting involved from the rear and it also got a bit messy in the bunched finish for the minor places, Streak Lightning most inconvenienced, whilst the well-supported favourite isn't one to be giving up on just yet granted a stiffer test. | [HORSE]: , with a tongue-tie added for the first time, shaped better than his finishing position, rallying late having been denied a clear run and lost his position. He can be given another chance."
"2nd of 8, fairly beaten | [RACE]: Some fierce fractions set by Kracking, with Masqool dragged into doing too much in pursuit, and it was only the winner who truly coped with such an exacting examination, most of the rest showing a foible of some sort or other. | [HORSE]: without the headgear this time, got back on track to some extent from a reduced mark; held up, progress 2f out, took second 1f out, carried head bit awkwardly, plugged on but absolutely no impression on winner."
"2nd of 8, involved in finish | [RACE]: A fairly useful handicap that showed the winner to good effect from the front, Goddess of Fire fending off the joint favourites, both of whom make more appeal for next time. | [HORSE]: well backed after 7 months off and left the impression he should have made a winning return, suited by the drop back in trip (saw things out better than was sometimes the case at 3 yrs) but just unable to peg back one who enjoyed first run; mid-field, headway out wide 2f out, challenged final 1f, stayed on; will remain of interest."
"8th of 12, involved in finish | [RACE]: A muddling low-grade handicap which saw the field finish in a heap, the winning favourite controlling matters from her plum draw, both the second and third shaping better on the day, having had to wait for a run. | [HORSE]: ran better than last time without ever threatening; in rear, ridden early in straight, plugged on, never a threat, would have benefited from a stronger gallop."
"27th of 29, well beaten | [RACE]: Year-on-year this proves to be one of the most competititve 3-y-o handicaps, the number of last-time-out winners in double figures, with a few of those chasing hat-tricks and generally progressive sorts aplenty, though there's a suspicion this may not prove one of the strongest renewals in recent times, with improvers in short supply on the day and very few marking themselves out as pattern race performers of the future, the winner a very obvious exception, his burst to the front and then second kick inside the final 1f giving him the air of one destined for bigger things; the field raced in 3 distinct groups, with the far side group in front much of the way, though the leaders there probably overdid it and the principals came from the other groups, the pair who pulled a little way clear racing in the centre, while the next 4 home all raced stand side. | [HORSE]: wasn't seen to best effect and his Sandown second probably remains the effort on which to make judgement; dwelt, raced far side, in rear, brief headway over 1f out, not knocked about, never on terms."
"Won | [RACE]: An established field of handicappers led home by the most senior of them; the pace was brisk thanks to the third, burning off most of them. | [HORSE]: wasted no time getting back on track, a marked change of tactics coming in just the right race as it turned out, doing his bit to make up for a blank 2022 as he made it 2 wins from his last 3 starts; held up, steady headway from 3f out, led entering final 1f, soon clear, suited by the strong pace."
"4th of 7, involved in finish | [RACE]: A steady gallop ensured all seven runners held a chance turning in, the fourth very likely to have played a part in the finish granted a clear passage. | [HORSE]: is another whose one previous AW run stood out in comparison with her turf efforts (16lb higher on RPRs). Fitted with a tongue-tie for her return to synthetics, she had it to do from the back of the field given the way the race was run. Even so, she travelled best into the straight and would surely have gone close to winning had she got the breaks when she needed them. She should find a similar race."
"7th of 11, fairly beaten | [RACE]: A competitive affair run at a fair gallop, a pair that arrived in good heart able to pull a long way clear. | [HORSE]: shaped better than the bare result and can be treated as if still in good heart; waited with, took keen hold, headway when not clear run 2f out, met some trouble again final 1f, finished with running left."
"3rd of 13, involved in finish | [RACE]: A competitive handicap in which the majority involved in the finish came from mid-field or further back, one that boasts some really strong recent form chased home by a last-time-out winner, the third doing well to get involved having blown the start and the handicap debutant in fourth very much one to be interested in at a similar level. | [HORSE]: claimer ridden, did well to get as close as she did given the ground she forfeited at the start, clearly on a handy mark but a tough one to go too overboard about given she needs everything to fall right given her running style; reared start, raced off the pace, good headway 2f out, keeping on when hung left entering final 1f, never nearer."
"Won | [RACE]: A distinctly one-sided handicap, the unexposed winner dispatching mostly averagely treated rivals with notable ease. | [HORSE]: had his Kempton form boosted by the third last week and showed himself to be well ahead of his mark in his second handicap, quickening clear in the style of a potentially smart colt. He'd be very hard to beat under a penalty."
"5th of 15, competitive | [RACE]: They split into 2 groups in this good-quality handicap, theose drawn high dominating on the near side, the winner in the form of his life right now, while Count D'orsay deserves plenty of credit for coming out best of those that raced on the far side. | [HORSE]: ran a cracker from his unfavourable draw, winning his race on the far side clearly. It's a long time since he got his head in front overall, but on this evidence he is capable of winning again off this sort of mark."
"4th of 8, involved in finish | [RACE]: A tight finish to a decidedly ordinary contest, the fourth probably the only one worth noting going forward, the run an eye-catching one considering he's still rough around the edges. | [HORSE]: back down in trip, shaped well making handicap debut, still looking green but doing good late work once the penny started to drop; slowly into stride, in rear, headway when switched over 1f out, kept on final 1f, nearest at the finish; he's got the ability to win modest races this winter, probably back over further."
"3rd of 20, involved in finish | [RACE]: A lack of unexposed sorts gave the form a solid rather than strong look, though it was a typically competitive affair, the well-in favourite giving it a bold go from the front and picked off only late on by a trio which included the gambled-on winner and a last-time-out scorer, though it was the third who would have collected with a clear run; the field elected to come towards the stand rail and a high draw wasn't a usual disadvantage as a result, the runner-up and fifth doing best of those on the other flank. | [HORSE]: returned to form back up in trip and back on a sound surface. He didn't get a clear run when starting to make his ground and he's one to keep onside either on turf or AW."
"Won | [RACE]: All bar one of these were 3-y-os, the sole older horse failing to beat any of his younger rivals, but it's probably unwise to rate this form that highly on account of a modest gallop, the winner seeming much better equipped to cope with it than the runner-up. | [HORSE]: became the second of the pace forcers that ended up out the back in the King George V Handicap to bounce straight back and win next time, a steadily-run 1¼m looking far more her thing, having far too many gears for her male rivals; in touch, travelled well, close up 3f out, produced to lead under 2f out, quickened clear inside final 1f, comfortably."
"5th of 12, fairly beaten | [RACE]: A basement-grade nursery, the gambled-on winner proving a different proposition on nursery debut; the field was quickly strung out courtesy of Miss Ayala and Molly Mac taking each other on up top. | [HORSE]: is better judged on her win the time before, overdoing the front-running having got across from the widest stall; made running, headed over 3f out, shaken up 2f out, led again briefly early in straight, weakening when hung right final 1f."
"10th of 12, well beaten | [RACE]: A handicap that should throw up winners in the coming weeks, the winner thriving whilst the second and fourth were both better than the bare result. | [HORSE]: back on all-weather, after 8 weeks off, shaped better than the distance beaten suggests; mid-division, keeping on when no room final 1f, not recover."
"10th of 12, well beaten | [RACE]: Plenty underperformed in an ordinary staying handicap, the winner finding a bit of improvement for a step up in trip. | [HORSE]: had headgear fitted having often made his life tough with slow starts, but he was still sluggishly away before his rider rushed him up to be on the heels of the leader. He found little for pressure and dropped right away and isn't one to be backing at short odds too often."
"3rd of 14, involved in finish | [RACE]: A borderline useful handicap featuring an even mix of three-year-olds and older horses, one from either category fighting out a very close finish, the winner coming from a long way back in a well-run race. | [HORSE]: ran really well back down slightly in trip, doing best of those ridden close up in a well-run affair while his rider lost a rein in the latter stages, too; prominent, shaken up over 3f out, edged ahead 2f out, headed final 1f."
"Won | [RACE]: Not a bad race for the grade, the thriving winner doing this in good style while there was also promise to be taken from a couple coming down the weights in a truly-run contest. | [HORSE]: completed the 4-timer with his smoothest success yet under a penalty after just 4 days off, getting a good tow in behind a contested lead and quickly putting this to bed in the final 1f, hard to rule out in better handicaps than this in current heart; stumbled start, prominent, travelled well, challenged over 1f out, led final 1f, quickened clear, won readily."
"11th of 11, well beaten | [RACE]: The pace didn't really pick up until after halfway and it paid to be prominent. | [HORSE]: is best not judged on this run as his race was effectively ended through no fault of his own early on; waited with, hampered over 5f out, went amiss and eased off (found to have sustained wounds to a hind leg)."
"4th of 8, involved in finish | [RACE]: The pace held up with the first 3 home in those positions throughout, Without Delay recording her third C&D success as the fourth caught the eye from the rear of the field. | [HORSE]: , having another go over a mile but on better ground this time, ran into some traffic difficulties inside the final 2f and finished with petrol left in the tank under his inexperienced jockey, who'd picked up a ten-day ban the last time she rode him. He hasn't won for ages but has now twice caught the eye in his last three starts."
"5th of 11, involved in finish | [RACE]: Most of the field were aged 3 or 4 but one of the remainder - both of whom are well into the veteran stage - managed to win and the other one was an unlucky-in-running and fast-finishing fifth, which suggests the form is no better than ordinary for the grade. | [HORSE]: the oldest in the race, finished with a flourish having lost his place early in the home straight. He loves soft ground and retains enough ability to think he can win again."
"5th of 15, competitive | [RACE]: An open-looking handicap, unexposed sorts in short supply, though the well-backed winner was having just his third run on turf and found a fair bit of improvement, a strong pace favouring those more patiently ridden, the field keeping off the inside rail in the straight. | [HORSE]: ran creditably, turning in easily his best effort of the year, shaping a bit better than the bare result as well, having nothing left late on after forcing the pace but still having best of those that raced prominently; led, ridden 3f out, headed over 1f out, left behind by winner, weakened final 50 yds."
"Won | [RACE]: The winner quickly bagged the far rail in this fairly useful handicap, that proving to be decisive as he was never headed; the pair that elected to race in the centre were never in it. | [HORSE]: who hadn't been given a hard time on reappearance, came on markedly for that and produced a career best, though whether he's quite so good as this makes him seem is open to debate, getting things his own way on an inside rail that looked to be playing pretty kindly; made all on far rail, ridden under 2f out, kept on, always holding on."
"Won | [RACE]: A valuable sprint handicap and strong-looking form, acknowledging the now-typical York draw bias was at play, those drawn high largely struggling to get involved and the efforts of Strike Red and Arctic Thunder worth marking up given their position on the near side. | [HORSE]: has had his detractors but did enough in a new tongue-tie/cheekpiece combination to land another nice pot. He's won in blinkers in the past and, while there's a chance headgear becomes less effective and he still comes with risks, the son of Blue Point is a force to be reckoned with in these big handicaps. He was cut to 12-1 from 16-1 by Paddy Power for the Stewards' Cup."
"2nd of 12, involved in finish | [RACE]: A useful handicap won in good style by a veteran who rolled back the years, Documenting always in a good spot just behind the pace and putting this to bed while a couple of fancied runners met some trouble, notably Cephalus. | [HORSE]: didn't get a completely clear shot at it from a rear-field position in the straight. This effort can be marked up and he seems well capable of landing a race from a mark in the 80s."
"14th of 17, well beaten | [RACE]: A competitive contest with no less than 6 previous course winners in attendance and, despite only 4 lengths covering almost half of the field, it still appeals as solid form, the thriving Aphelios leading home a pair of last-time-out winners with an unexposed 3-y-o who didn't get the clearest of runs hot on their heels; it developed in somewhat typical fashion for a 7f event here with those drawn in single figures coming to the fore, as well as it proving hard to get involved from the rear, the well-weighted pair Orbaan and Zip both worth marking up as a result. | [HORSE]: one of the least exposed, is better judged on previous form down in grade having ended up nearest the stand rail and away from the action, for all that she has work to do from opening mark; dwelt, raced well off the pace, went in snatches, headway under pressure out wide under 3f out, left behind over 1f out."
"4th of 10, fairly beaten | [RACE]: A typical race of its kind, won in comprehensive style by one having his very first run in such company. | [HORSE]: was strong in the betting down in grade, but not for the first time was hindered as much by his own quirks as anything else, going as well as any when meeting trouble but then not going through with his effort fully once in the clear; held up, travelled well, not clear run over 2f out, forced to switch over 1f out, chased leaders final 1f, not run on; temperament under suspicion."
"2nd of 6, involved in finish | [RACE]: This appeals as sound form, the winner, along with the third, very solid yardsticks, though the ex-German runner-up appeals as the most interesting prospect going forward. | [HORSE]: 3-3 in Germany for her previous yard, is bred to stay well. The good gallop also helped her, but this was still too short for her. She was edging closer with every stride as the line approached, and will appreciate moving up to 1m4f plus."
"Won | [RACE]: Probably the strongest renewal yet of a race that was run on the round course in 3 previous editions, a regally-bred sort pulling clear along with the favourite, that pair finding improvement in a race that has tended to be short on such types in previous years; the front pair were both drawn high and raced in the smaller group centre-to-stand side, but there's a strong case that they were simply best at the weights as opposed to holding an advantage racing on that part of the track, that they were prominently positioned as the groups merged after halfway probably more salient, with those from off the pace failing to land much of a blow. | [HORSE]: who bolted up in a mile Windsor maiden in October before racing keenly and being outstayed over 1m2f on soft ground at Haydock on her handicap/seasonal return, remained well treated from a mark of 85 given her breeding, by Sea The Stars out of the brilliant Treve, parents with three Arc wins between them, and she gradually wore down the favourite, proving ideally suited by the stiff mile."
"Won | [RACE]: A good handicap for the grade, the winner reappearing with a useful effort, the second also on a good mark, while a few others will do better for the outing. | [HORSE]: without the headgear this time, won on reappearance here last year and repeated the trick with a really taking effort after 8 months off, clearly better than this grade on his day and hopefully he'll kick on from this winning start better than he did last time around; prominent, travelled well, quickened to lead over 1f out, drew clear, had plenty in hand; his stable couldn't be in better form right now."
"2nd of 14, involved in finish | [RACE]: A soundly-run race and probably a strong race of its type, a trio of 3-y-os filling the first 3 places and the front pair in particular worth being positive about, both better than the bare result for differing reasons. | [HORSE]: again looked comfortably ahead of her mark back in handicap company, now unfortunate on both of her visits to this track, although markedly so on this occasion. Given plenty to do, she was repeatedly denied a run before finishing strongly. She's one to keep on side and should make a better 4yo."
"2nd of 6, involved in finish | [RACE]: Just the 6 runners, but they grouped towards the stand rail, and the third found all the trouble going, the fourth not seen to advantage either, the winner scoring decisively, despite looking less than straightforward. | [HORSE]: making turf debut, ran well on just her second handicap start, though perhaps flattered to finish ahead of the third and fourth, having the run of the race too; led, ridden over 2f out, headed 1f out, not quicken inside final 1f."
"3rd of 11, involved in finish | [RACE]: Very solid-looking end-of-season form, run at a true clip and in-form ones coming to the fore. | [HORSE]: ran well upped in trip for handicap debut despite racing with plenty of enthusiasm. She looks to be on a good mark if she learns to settle."
"4th of 7, involved in finish | [RACE]: Fair form from the first 3 home, Agostino justfying favouritism on his return as he comfortably recorded a fourth course success. | [HORSE]: wasn't disgraced given a bit more time between races, needing everything to drop right given he often races off the pace; shuffled back after 1f, in rear, bit short of room over 1f out, stayed on final 1f, never landed a blow."
"Won | [RACE]: A tightly-knit handicap on paper but a sound gallop sorted them out, the hold-up pair coming clear of the rest late on. | [HORSE]: turned in an improved display on this first run since October at a course that doesn't usually favour those held up. He won a shade snugly and could develop into a useful handicapper this season."
